Web Search interest: flu
United States; 2004 - present

Interest over time
Week,flu
2013-02-17 - 2013-02-23,2
2013-02-24 - 2013-03-02,2
2013-03-03 - 2013-03-09,2
2013-03-10 - 2013-03-16,2
2013-03-17 - 2013-03-23,2
2013-03-24 - 2013-03-30,1
2013-03-31 - 2013-04-06,1
2013-04-07 - 2013-04-13,1
2013-04-14 - 2013-04-20,1
2013-04-21 - 2013-04-27,1
2013-04-28 - 2013-05-04,1
2013-05-05 - 2013-05-11,1
2013-05-12 - 2013-05-18,1
2013-05-19 - 2013-05-25,1
2013-05-26 - 2013-06-01,1
2013-06-02 - 2013-06-08,1
2013-06-09 - 2013-06-15,1
2013-06-16 - 2013-06-22,1
2013-06-23 - 2013-06-29,1
2013-06-30 - 2013-07-06,0
2013-07-07 - 2013-07-13,0
2013-07-14 - 2013-07-20,0
2013-07-21 - 2013-07-27,1
2013-07-28 - 2013-08-03,1
2013-08-04 - 2013-08-10,1
2013-08-11 - 2013-08-17,1
2013-08-18 - 2013-08-24,1
2013-08-25 - 2013-08-31,1
2013-09-01 - 2013-09-07,1
2013-09-08 - 2013-09-14,1
2013-09-15 - 2013-09-21,1
2013-09-22 - 2013-09-28, 
2013-09-29 - 2013-10-05, 


Top subregions for flu
Subregion,flu
Pennsylvania,100
New Jersey,98
Massachusetts,98
Wisconsin,98
Maryland,97
New York,97
Missouri,95
Illinois,95
District of Columbia,95
Connecticut,95
Washington,94
Ohio,94
Tennessee,94
California,93
Texas,93
Minnesota,92
Arkansas,92
North Carolina,92
Colorado,92
Kentucky,91
Arizona,91
Rhode Island,90
Alabama,90
Maine,90
West Virginia,89
Georgia,89
Utah,89
Indiana,88
Michigan,87
Oregon,86
Oklahoma,86
New Hampshire,84
Kansas,84
Mississippi,84
South Dakota,83
Louisiana,82
Virginia,82
South Carolina,81
Nebraska,81
North Dakota,80
Hawaii,80
New Mexico,80
Wyoming,79
Delaware,78
Montana,78
Iowa,78
Alaska,78
Florida,77
Vermont,77
Idaho,77
Nevada,72


Top metros for flu
Metro,flu
Boston,100
Kansas City,98
Seattle-Tacoma,97
Chicago,97
Bangor,97
Baltimore,96
New York,96
Binghamton,95
Syracuse,94
Atlanta,94
Dallas-Fort Worth,94
Raleigh-Durham,93
Jackson,93
Greenville-Spartenburg,92
Phoenix,92
Austin,92
St Louis,92
Harrisonburg,92
Springfield-Holyoke,92
Clarksburg-Weston,91
Denver,91
Philadelphia,90
Rochester-Mason City-Austin,90
Minneapolis-St Paul,90
Dothan,90
San Diego,90
Pittsburgh,89
Shreveport,89
Richmond-Petersburg,89
Colorado Springs,88
La Crosse-Eau Claire,88
Charleston-Huntington,88
Harrisburg-Lancaster-Lebanon-York,88
Oklahoma City,88
Indianapolis,88
Lexington,88
Washington,88
Providence,87
Los Angeles,87
Chattanooga,87
Madison,87
Rochester,86
Cleveland,86
Salt Lake City,85
Santa Barbara,85
Portland-Auburn,85
Sioux Falls,85
Birmingham,84
Hartford,84
Portland,84
Louisville,84
Nashville,84
Columbus,84
Butte-Bozeman,84
Tri-Cities,84
Columbus,84
Lafayette,84
Detroit,84
Milwaukee,83
Albany,83
Columbia-Jefferson City,83
Huntsville,83
Duluth,83
Evansville,83
Champaign-Springfield-Decatur,82
Cincinnati,82
Knoxville,82
Tulsa,82
Little Rock-Pine Bluff,82
Bowling Green,82
Charlotte,82
Wilkes Barre-Scranton,82
Orlando,81
Green Bay-Appleton,81
Flint,81
Columbia,81
Rapid City,81
Sacramento,81
Albany-Schenectady-Troy,81
Peoria-Bloomington,80
Wausau-Rhinelander,80
Marquette,80
Tyler-Longview,80
Omaha,80
Burlington,79
Fargo-Valley City,79
Albuquerque,79
Johnstown-Altoona,79
Montgomery,79
Toledo,79
San Francisco,79
Charlottesville,79
Columbus-Tupelo-West Point,78
Corpus Christi,78
Spokane,78
Ft Wayne,78
Jackson,78
Medford-Klamath Falls,78
Paducah,77
Monroe,77
New Orleans,77
Minot-Bismarck-Dickinson,77
Eugene,77
Boise,77
Cedar Rapids-Waterloo,77
Cheyenne,77
Lincoln-Hastings,77
Baton Rouge,76
Grand Rapids,76
Memphis,76
South Bend,76
Honolulu,76
Houston,75
Ft Smith-Fay-Springfield,75
Springfield,75
Tucson,75
Youngstown-Warren,75
Greensboro,75
Erie,75
Roanoke-Lynchburg,74
Palm Springs,74
Lansing,74
Grand Junction,73
Norfolk-Portsmouth,73
Des Moines,73
Yakima-Pasco,73
Wilmington,73
Wichita,72
Dayton,72
Anchorage,72
Wichita Falls,72
Tampa,72
Bakersfield,72
Greenville-New Bern-Washington,72
Billings,71
Buffalo,71
Mobile,71
Monterey-Salinas,71
Jacksonville,70
Panama City,70
Biloxi-Gulfport,70
Idaho Falls-Pocatello,70
Lubbock,70
San Antonio,69
Reno,69
Chico-Redding,68
Augusta,68
Las Vegas,68
Tallahassee,67
Savannah,67
Macon,67
Amarillo,67
Fresno,66
Odessa-Midland,66
Missoula,66
Lafayette,66
Charleston,66
Davenport-Rock Island-Moline,65
Salisbury,65
El Paso,64
Miami,64
Waco-Temple-Bryan,64
Traverse City-Cadillac,64
Gainesville,61
Topeka,61
Harlingen,61
Sioux City,60
Ft Myers,59
Beaumont-Port Author,58
Rockford,57
Abilene-Sweetwater,56
Florence-Myrtle Beach,54
West Palm Beach,51
Utica-Rome,0
Watertown,0
Presque Isle,0
Wheeling,0
Lima,0
Bluefield-Beckley-Oak Hill,0
Elmira,0
Terre Haute,0
Alpena,0
Zanesville,0
Parkersburg,0
Joplin-Pittsburg,0
Victoria,0
Ottumwa-Kirksville,0
St Joseph,0
Lake Charles,0
Alexandria,0
Greenwood-Greenville,0
Sherman,0
San Angelo,0
Hattiesburg-Laurel,0
Meridian,0
Quincy,0
Jonesboro,0
Mankato,0
North Platte,0
Fairbanks,0
Juneau,0
Laredo,0
Great Falls,0
Twin Falls,0
Helena,0
Casper-Riverton,0
Yuma,0
Glendive,0
Eureka,0
Bend,0


Top cities for flu
City,flu
Atlanta,100
St Louis,98
Washington,98
New York,95
Chicago,95
Boston,94
Los Angeles,94
San Francisco,93
Phoenix,93
Dallas,90
San Diego,90
Seattle,89
Philadelphia,88
Denver,87
Austin,86



Top searches for flu
swine flu,100
swine,100
flu symptoms,75
the flu,65
flu shot,50
stomach flu,30
symptoms swine flu,25
flu shots,20
flu vaccine,20
symptoms of flu,20
bird flu,15
h1n1 flu,10
flu virus,10
h1n1,10
cdc,5
cdc flu,5
cold and flu,5
stomach flu symptoms,5
swine flu vaccine,5
flu 2013,5
avian flu,5
flu contagious,5
flu map,5
influenza,5
flu season,5
flu treatment,5
cold symptoms,5
flue,5
pandemic,5
spanish flu,5
flu pandemic,5
google flu,5
flu medicine,5
flu like symptoms,5
flu remedies,5
food poisoning,5
1918 flu,5
tamiflu,5
flu epidemic,5
cdc swine flu,5
flu test,5
pneumonia,5
flu outbreak,0
stomach virus,0
swine flu map,0
flu incubation period,0
flu symtoms,0
free flu shots,0
flu mist,0
flu or cold,0



Rising searches for flu
flu 2013,Breakout
h1n1,Breakout
h1n1 flu,Breakout
swine,Breakout
swine flu,Breakout
swine flu vaccine,Breakout
symptoms swine flu,Breakout
flu contagious,+190%
symptoms of flu,+150%
flu map,+120%



